-462117.06424300000	-1199527.52948000000
-462116.88498400000	-1199616.12616000000
-462116.72132900000	-1199704.73614000000
-462115.33991600000	-1199793.33985000000
-462111.88286200000	-1199881.88594000000
-462107.02589100000	-1199970.35823000000
-462097.50634500000	-1200058.43095000000
-462079.96784700000	-1200145.21426000000
-462048.86496100000	-1200227.90964000000
-461996.23690100000	-1200298.53438000000
-461923.88899000000	-1200349.09196000000
-461840.40488900000	-1200378.17508000000
-461752.51770200000	-1200388.34560000000
-461664.04100100000	-1200385.02288000000
-461576.60749800000	-1200371.02896000000
-461491.65134400000	-1200346.15708000000
-461410.74033900000	-1200310.24979000000
-461335.83572300000	-1200263.14083000000
-461271.81016000000	-1200202.17850000000
-461223.88344700000	-1200128.06355000000
-461205.88405600000	-1200041.93585000000
-461224.62042700000	-1199955.83292000000
-461268.52672400000	-1199879.06885000000
-461326.93885100000	-1199812.57438000000
-461392.37574300000	-1199752.85318000000
-461458.79525000000	-1199694.19485000000
-461521.97211700000	-1199632.11455000000
-461577.78959000000	-1199563.42252000000
-461615.25750300000	-1199483.62210000000
-461620.57614800000	-1199395.82736000000
-461599.51539400000	-1199309.97058000000
-461564.28135200000	-1199228.76632000000
-461518.47690500000	-1199152.99387000000
-461464.66497100000	-1199082.64111000000
-461406.00125800000	-1199016.24384000000
-461345.30610900000	-1198951.68247000000
-461284.41420100000	-1198887.30468000000
-461223.82767100000	-1198822.64114000000
-461163.60340700000	-1198757.63859000000
-461104.80121900000	-1198691.35798000000
-461048.66968800000	-1198622.80047000000
-460993.01777300000	-1198553.84506000000
-460934.25483100000	-1198487.55722000000
-460868.50436300000	-1198428.33100000000
-460792.10303300000	-1198383.94880000000
-460706.60030900000	-1198361.68625000000
-460618.09767800000	-1198360.23094000000
-460530.18380200000	-1198370.93439000000
-460443.67996700000	-1198390.01234000000
-460359.13409300000	-1198416.45665000000
-460276.52271500000	-1198448.47886000000
-460194.80939300000	-1198482.73939000000
-460113.64394600000	-1198518.29163000000
-460032.67955300000	-1198554.30239000000
-459951.71524700000	-1198590.31307000000
-459870.78668000000	-1198626.40277000000
-459790.23863500000	-1198663.33201000000
-459710.67973200000	-1198702.33769000000
-459631.49750600000	-1198742.11306000000
-459552.31535600000	-1198781.88833000000
-459472.69529700000	-1198820.76320000000
-459390.75325300000	-1198854.40434000000
-459305.55133500000	-1198878.38203000000
-459217.44962200000	-1198883.47552000000
-459134.02664000000	-1198856.00511000000
-459071.64408200000	-1198794.06520000000
-459034.63910900000	-1198714.07635000000
-459020.80925600000	-1198626.88134000000
-459025.38911200000	-1198538.56826000000
-459043.76451200000	-1198452.00693000000
-459074.29013600000	-1198368.92889000000
-459114.63345800000	-1198290.10552000000
-459162.82054400000	-1198215.79586000000
-459219.21855600000	-1198147.50551000000
-459281.34261700000	-1198084.35612000000
-459347.15946200000	-1198025.04831000000
-459415.59478200000	-1197968.78006000000
-459485.80065000000	-1197914.72725000000
-459557.69568100000	-1197862.92982000000
-459630.85940500000	-1197812.94048000000
-459704.44075300000	-1197763.56844000000
-459777.81629400000	-1197713.89621000000
-459849.90371800000	-1197662.37482000000
-459919.64100600000	-1197607.71994000000
-459985.85530000000	-1197548.86718000000
-460047.11674600000	-1197484.91719000000
-460101.05612300000	-1197414.71387000000
-460147.56841700000	-1197339.36093000000
-460185.63073200000	-1197259.39689000000
-460213.95585100000	-1197175.50457000000
-460233.06797400000	-1197089.00940000000
-460246.38128800000	-1197001.41487000000
-460257.19345700000	-1196913.46608000000
-460267.13812800000	-1196825.41403000000
-460276.47600600000	-1196737.30554000000
-460282.38051400000	-1196648.89787000000
-460283.65712200000	-1196560.31540000000
-460277.78417600000	-1196471.95769000000
-460260.22067200000	-1196385.28663000000
-460221.90706100000	-1196305.93854000000
-460159.18022400000	-1196244.20383000000
